nameOfTheJournal,ISSN,libraryID,officialWebsite,第三方名称,redirectedUrl
岩石学报,1000-0569,核心库,www.ysxb.ac.cn,北京仁和汇智信息技术有限公司,http://www.ysxb.ac.cn/aps
光电工程,1003-501X,核心库,www.oejournal.org/J/OEE.html/CN,北京仁和汇智信息技术有限公司,https://cn.oejournal.org/oee
