nameOfTheJournal,ISSN,libraryID
火工品,1003-1480,扩展库
火力与指挥控制,1002-0640,扩展库
火炸药学报,1007-7812,核心库
机器人,1002-0446,核心库
机械工程材料,1000-3738,扩展库
机械工程学报,0577-6686,核心库
机械科学与技术,1003-8728,核心库
机械强度,1001-9669,扩展库
机械设计,1001-2354,扩展库
机械设计与研究,1006-2343,扩展库
基因组学与应用生物学,1674-568X,扩展库
激光技术,1001-3806,扩展库
激光与光电子学进展,1006-4125,核心库
激光与红外,1001-5078,扩展库
吉林大学学报.  地球科学版,1671-5888,核心库
吉林大学学报.  工学版,1671-5497,核心库
吉林大学学报.  医学版,1671-587X,扩展库
吉林农业大学学报,1000-5684,扩展库
极地研究,1007-7073,核心库
疾病监测,1003-9961,核心库
计量经济学报,2096-9732,核心库
计量学报,1000-1158,扩展库
计算机辅助设计与图形学学报,1003-9775,核心库
计算机工程,1000-3428,扩展库
计算机工程与科学,1007-130X,扩展库
计算机工程与应用,1002-8331,扩展库
计算机集成制造系统,1006-5911,核心库
计算机科学,1002-137X,扩展库
计算机科学与探索,1673-9418,核心库
计算机学报,0254-4164,核心库
计算机研究与发展,1000-1239,核心库
计算机应用,1001-9081,扩展库
计算机应用研究,1001-3695,扩展库
计算力学学报,1007-4708,核心库
计算数学,0254-7791,核心库
计算物理,1001-246X,扩展库
建筑材料学报,1007-9629,核心库
建筑钢结构进展,1671-9379,扩展库
建筑结构学报,1000-6869,核心库
建筑科学,1002-8528,扩展库
江苏农业学报,1000-4440,核心库
江西农业大学学报,1000-2286,核心库
交通信息与安全,1674-4861,扩展库
交通运输工程学报,1671-1637,核心库
交通运输系统工程与信息,1009-6744,核心库
洁净煤技术,1006-6772,核心库
解放军医学杂志,0577-7402,核心库
解剖学报,0529-1356,核心库
介入放射学杂志,1008-794X,扩展库
金属热处理,0254-6051,扩展库
金属学报,0412-1961,核心库
经济地理,1000-8462,核心库
精细化工,1003-5214,核心库
景观设计学（中英文）,2096-336X,扩展库
军事护理,2097-1826,核心库
军事医学,1674-9960,核心库
菌物学报,1672-6472,核心库
菌物研究,1672-3538,核心库
康复学报,2096-0328,扩展库
科技导报,1000-7857,核心库
科学观察,1673-5668,扩展库
科学通报,0023-074X,核心库
科学学研究,1003-2053,核心库
科学学与科学技术管理,1002-0241,核心库
科研管理,1000-2995,核心库
可再生能源,1671-5292,核心库
空间结构,1006-6578,扩展库
空间科学学报,0254-6124,核心库
空间控制技术与应用,1674-1579,核心库
空间碎片研究,2096-4099,扩展库
空军工程大学学报,2097-1915,扩展库
空气动力学学报,0258-1825,核心库
空天技术,2097-0714,核心库
空天预警研究学报,2097-180X,扩展库
控制工程,1671-7848,扩展库
控制理论与应用,1000-8152,核心库
控制与决策,1001-0920,核心库
口腔医学研究,1671-7651,扩展库
矿床地质,0258-7106,核心库
矿物学报,1000-4734,核心库
矿物岩石,1001-6872,扩展库
矿物岩石地球化学通报,1007-2802,核心库
矿业科学学报,2096-2193,核心库
昆虫学报,0454-6296,核心库
兰州大学学报.  自然科学版,0455-2059,核心库
雷达学报,2095-283X,核心库
"理化检验. B,  化学分册",1001-4020,扩展库
力学季刊,0254-0053,扩展库
力学进展,1000-0992,核心库
力学学报,0459-1879,核心库
粮油食品科技,1007-7561,扩展库
量子电子学报,1007-5461,扩展库
林产化学与工业,0253-2417,核心库
林业工程学报,2096-1359,扩展库
林业科学,1001-7488,核心库
林业科学研究,1001-1498,核心库
临床超声医学杂志,1008-6978,扩展库
临床儿科杂志,1000-3606,核心库
临床耳鼻咽喉头颈外科杂志,2096-7993,核心库
临床麻醉学杂志,1004-5805,扩展库
临床皮肤科杂志,1000-4963,扩展库
临床小儿外科杂志,1671-6353,扩展库
流体机械,1005-0329,扩展库
陆军军医大学学报,2097-0927,核心库
麦类作物学报,1009-1041,核心库
煤炭科学技术,0253-2336,核心库
煤炭学报,0253-9993,核心库
煤炭转化,1004-4248,核心库
煤田地质与勘探,1001-1986,扩展库
密码学报,2095-7025,核心库
棉花学报,1002-7807,核心库
免疫学杂志,1000-8861,核心库
模式识别与人工智能,1003-6059,核心库
膜科学与技术,1007-8924,核心库
摩擦学学报,1004-0595,核心库
南方电网技术,1674-0629,核心库
南方建筑,1000-0232,扩展库
南方农业学报,2095-1191,扩展库
南方水产科学,2095-0780,核心库
南方医科大学学报,1673-4254,核心库
南京大学学报.  自然科学版,0469-5097,核心库
南京航空航天大学学报,1005-2615,核心库
南京理工大学学报.  自然科学版,1005-9830,扩展库
南京林业大学学报.  自然科学版,1000-2006,核心库
南京农业大学学报,1000-2030,核心库
南京中医药大学学报,1672-0482,核心库
南开大学学报.  自然科学版,0465-7942,扩展库
南水北调与水利科技(中英文),2096-8086,扩展库
内燃机工程,1000-0925,扩展库
内燃机学报,1000-0909,核心库
泥沙研究,0468-155X,核心库
农药,1006-0413,扩展库
农药学学报,1008-7303,核心库
农业工程学报,1002-6819,核心库
农业环境科学学报,1672-2043,核心库
农业机械学报,1000-1298,核心库
农业生物技术学报,1674-7968,核心库
农业现代化研究,1000-0275,扩展库
农业资源与环境学报,2095-6819,核心库
排灌机械工程学报,1674-8530,核心库
气候变化研究进展,1673-1719,核心库
气候与环境研究,1006-9585,核心库
气象,1000-0526,核心库
气象学报,0577-6619,核心库
汽车安全与节能学报,1674-8484,核心库
汽车工程,1000-680X,核心库
汽车技术,1000-3703,扩展库
器官移植,1674-7445,核心库
强度与环境,1006-3919,扩展库
强激光与粒子束,1001-4322,核心库
桥梁建设,1003-4722,核心库
清华大学学报.  自然科学版,1000-0054,核心库
情报学报,1000-0135,扩展库
全球变化数据学报（中英文）,2096-3645,扩展库
全球定位系统,1008-9268,扩展库
全球能源互联网,2096-5125,核心库
燃料化学学报（中英文）,2097-213X,核心库
