nameOfTheJournal,ISSN,libraryID
中国耳鼻咽喉头颈外科,1672-7002,扩展库
中国法医学杂志,1001-5728,扩展库
中国防痨杂志,1000-6621,扩展库
中国肺癌杂志,1009-3419,核心库
中国粉体技术,1008-5548,扩展库
中国腐蚀与防护学报,1005-4537,核心库
中国妇产科临床杂志,1672-1861,扩展库
中国感染控制杂志,"1671-9638
2096-9244",核心库
中国感染与化疗杂志,1009-7708,核心库
中国给水排水,1000-4602,核心库
中国工程科学,1009-1742,核心库
中国公共卫生,1001-0580,核心库
中国公路学报,1001-7372,核心库
中国骨伤,1003-0034,扩展库
中国骨质疏松杂志,1006-7108,核心库
中国管理科学,1003-207X,核心库
中国惯性技术学报,1005-6734,核心库
中国光学（中英文）,2097-1842,核心库
中国海上油气,1673-1506,核心库
中国海洋大学学报.  自然科学版,1672-5174,核心库
中国海洋药物,1002-3461,扩展库
中国航海,1000-4653,扩展库
中国呼吸与危重监护杂志,1671-6205,核心库
中国护理管理,1672-1756,核心库
中国环境监测,1002-6002,核心库
中国环境科学,1000-6923,核心库
中国机械工程,1004-132X,核心库
中国激光,0258-7025,核心库
中国急救医学,1002-1949,核心库
中国脊柱脊髓杂志,1004-406X,核心库
中国寄生虫学与寄生虫病杂志,1000-7423,核心库
中国舰船研究,1673-3185,扩展库
中国矫形外科杂志,1005-8478,扩展库
中国介入心脏病学杂志,1004-8812,扩展库
中国康复理论与实践,1006-9771,核心库
中国康复医学杂志,1001-1242,核心库
中国抗生素杂志,1001-8689,核心库
中国科技史杂志,1673-1441,扩展库
中国科学.  地球科学,1674-7240,核心库
中国科学.  化学,1674-7224,核心库
中国科学.  技术科学,1674-7259,核心库
中国科学.  生命科学,1674-7232,核心库
中国科学.  数学,1674-7216,核心库
"中国科学.  物理学,  力学,  天文学",1674-7275,核心库
中国科学.  信息科学,1674-7267,核心库
中国科学基金,1000-8217,核心库
中国科学技术大学学报,0253-2778,扩展库
中国科学数据,2096-2223,核心库
中国科学院大学学报,2095-6134,核心库
中国科学院院刊,1000-3045,核心库
中国空间科学技术,1000-758X,核心库
中国矿业大学学报.  自然科学版,1000-1964,核心库
中国粮油学报,1003-0174,核心库
中国临床解剖学杂志,1001-165X,扩展库
中国临床心理学杂志,1005-3611,核心库
中国临床药理学与治疗学,1009-2501,核心库
中国临床药理学杂志,1001-6821,核心库
中国临床医学影像杂志,1008-1062,扩展库
中国慢性病预防与控制,1004-6194,核心库
中国免疫学杂志,1000-484X,核心库
中国男科学杂志,1008-0848,扩展库
中国脑血管病杂志,1672-5921,扩展库
中国农业大学学报,1007-4333,核心库
中国农业科技导报,1008-0864,扩展库
中国农业科学,0578-1752,核心库
中国农业气象,1000-6362,核心库
中国农业资源与区划,1005-9121,核心库
中国皮肤性病学杂志,1001-7089,扩展库
中国普通外科杂志,1005-6947,核心库
中国人口·资源与环境,1002-2104,核心库
中国人兽共患病学报,1002-2694,核心库
中国软科学,1005-0566,核心库
中国沙漠,1000-694X,核心库
中国神经精神疾病杂志,1002-0152,核心库
中国生态旅游,2095-199X,扩展库
中国生态农业学报（中英文）,2096-6237,核心库
中国生物防治学报,2095-039X,核心库
中国生物工程杂志,1671-8135,核心库
中国生物化学与分子生物学报,1007-7626,扩展库
中国生物医学工程学报,0258-8021,核心库
中国生物制品学杂志,1004-5503,扩展库
中国石油大学学报.  自然科学版,1673-5005,扩展库
中国石油勘探,1672-7703,核心库
中国实验动物学报,1005-4847,扩展库
中国实验方剂学杂志,1005-9903,核心库
中国实验血液学杂志,1009-2137,扩展库
中国实用儿科杂志,1005-2224,核心库
中国实用妇科与产科杂志,1005-2216,核心库
中国实用口腔科杂志,1674-1595,扩展库
中国实用内科杂志,1005-2194,核心库
中国实用外科杂志,1005-2208,核心库
中国食品卫生杂志,1004-8456,核心库
中国食品学报,1009-7848,核心库
中国兽医科学,1673-4696,扩展库
中国兽医学报,1005-4545,扩展库
中国水产科学,1005-8737,核心库
中国水稻科学,1001-7216,核心库
中国水土保持科学（中英文）,2096-2673,扩展库
中国塑料,1001-9278,核心库
中国糖尿病杂志,1006-6187,核心库
中国陶瓷,1001-9642,扩展库
中国疼痛医学杂志,1006-9852,核心库
中国铁道科学,1001-4632,核心库
中国图象图形学报,1006-8961,核心库
中国土地科学,1001-8158,核心库
中国土壤与肥料,1673-6257,核心库
中国微创外科杂志,1009-6604,扩展库
中国微生态学杂志,1005-376X,核心库
中国卫生统计,1002-3674,核心库
中国卫生政策研究,1674-2982,核心库
中国卫生资源,1007-953X,扩展库
中国稀土学报,1000-4343,核心库
中国细胞生物学学报,1674-7666,扩展库
中国现代应用药学,1007-7693,核心库
中国心理卫生杂志,1000-6729,核心库
中国新药与临床杂志,1007-7669,扩展库
中国新药杂志,1003-3734,核心库
中国胸心血管外科临床杂志,1007-4848,扩展库
中国修复重建外科杂志,1002-1892,核心库
中国血吸虫病防治杂志,1005-6661,核心库
中国血液净化,1671-4091,扩展库
中国循环杂志,1000-3614,核心库
中国循证儿科杂志,1673-5501,核心库
中国循证医学杂志,1672-2531,核心库
中国烟草科学,1007-5119,扩展库
中国烟草学报,1004-5708,扩展库
中国岩溶,1001-4810,扩展库
中国药科大学学报,1000-5048,核心库
中国药理学通报,1001-1978,核心库
中国药物依赖性杂志,1007-9718,扩展库
中国药学杂志,1001-2494,核心库
中国冶金,1006-9356,扩展库
中国野生植物资源,1006-9690,扩展库
中国医学计算机成像杂志,1006-5741,扩展库
中国医学科学院学报,1000-503X,核心库
中国医学前沿杂志.  电子版,1674-7372,扩展库
中国医学物理学杂志,1005-202X,扩展库
中国医学影像技术,1003-3289,核心库
中国医学影像学杂志,1005-5185,核心库
中国医药工业杂志,1001-8255,扩展库
中国疫苗和免疫,1006-916X,核心库
中国应用生理学杂志,1000-6834,扩展库
中国油料作物学报,1007-9084,核心库
中国油脂,1003-7969,核心库
中国有色金属学报,1004-0609,核心库
中国预防兽医学报,1008-0589,扩展库
中国预防医学杂志,1009-6639,扩展库
中国园林,1000-6664,扩展库
中国运动医学杂志,1000-6710,核心库
中国造船,1000-4882,核心库
中国造纸学报,1000-6842,扩展库
中国针灸,0255-2930,核心库
中国真菌学杂志,1673-3827,核心库
中国中西医结合急救杂志,1008-9691,扩展库
中国中西医结合杂志,1003-5370,核心库
中国中药杂志,1001-5302,核心库
中国中医基础医学杂志,1006-3250,扩展库
中国中医药信息杂志,1005-5304,扩展库
中国肿瘤,1004-0242,核心库
中国肿瘤临床,1000-8179,核心库
中国肿瘤生物治疗杂志,1007-385X,扩展库
中国组织化学与细胞化学杂志,1004-1850,扩展库
中华病理学杂志,0529-5807,核心库
中华超声影像学杂志,1004-4477,核心库
中华传染病杂志,1000-6680,核心库
中华创伤骨科杂志,1671-7600,核心库
中华创伤杂志,1001-8050,核心库
中华儿科杂志,0578-1310,核心库
中华耳鼻咽喉头颈外科杂志,1673-0860,核心库
中华耳科学杂志,1672-2922,核心库
中华放射学杂志,1005-1201,核心库
中华放射医学与防护杂志,0254-5098,核心库
中华放射肿瘤学杂志,1004-4221,核心库
中华风湿病学杂志,1007-7480,扩展库
中华妇产科杂志,0529-567X,核心库
中华肝胆外科杂志,1007-8118,核心库
中华肝脏病杂志,1007-3418,核心库
中华高血压杂志,1673-7245,扩展库
中华骨科杂志,0253-2352,核心库
中华骨与关节外科杂志,2095-9958,核心库
中华骨质疏松和骨矿盐疾病杂志,1674-2591,核心库
中华关节外科杂志（电子版）,1674-134X,核心库
中华行为医学与脑科学杂志,1674-6554,扩展库
中华航海医学与高气压医学杂志,1009-6906,扩展库
中华核医学与分子影像杂志,2095-2848,扩展库
中华护理教育,1672-9234,扩展库
中华护理杂志,0254-1769,核心库
中华急危重症护理杂志,2096-7446,核心库
中华急诊医学杂志,1671-0282,核心库
中华疾病控制杂志,1674-3679,核心库
中华检验医学杂志,1009-9158,核心库
中华健康管理学杂志,1674-0815,扩展库
中华结核和呼吸杂志,1001-0939,核心库
中华精神科杂志,1006-7884,核心库
中华口腔医学杂志,1002-0098,核心库
中华劳动卫生职业病杂志,1001-9391,扩展库
中华老年医学杂志,0254-9026,核心库
中华临床感染病杂志,1674-2397,核心库
中华临床营养杂志,1674-635X,核心库
中华流行病学杂志,0254-6450,核心库
中华麻醉学杂志,0254-1416,扩展库
中华泌尿外科杂志,1000-6702,核心库
中华男科学杂志,1009-3591,核心库
中华内分泌代谢杂志,1000-6699,核心库
中华内科杂志,0578-1426,核心库
中华皮肤科杂志,0412-4030,核心库
中华普通外科杂志,1007-631X,扩展库
中华乳腺病杂志（电子版）,1674-0807,扩展库
中华烧伤与创面修复杂志,2097-1109,核心库
中华神经科杂志,1006-7876,核心库
中华神经外科杂志,1001-2346,核心库
中华神经医学杂志,1671-8925,扩展库
中华肾脏病杂志,1001-7097,核心库
中华生殖与避孕杂志,2096-2916,核心库
中华实验和临床病毒学杂志,1003-9279,扩展库
中华实验眼科杂志,2095-0160,核心库
中华实用儿科临床杂志,2095-428X,核心库
中华手外科杂志,1005-054X,核心库
中华糖尿病杂志,1674-5809,核心库
中华外科杂志,0529-5815,核心库
中华危重病急救医学,2095-4352,核心库
中华危重症医学杂志(电子版),1674-6880,扩展库
中华微生物学和免疫学杂志,0254-5101,核心库
中华围产医学杂志,1007-9408,核心库
中华胃肠外科杂志,1671-0274,核心库
中华物理医学与康复杂志,0254-1424,核心库
中华显微外科杂志,1001-2036,核心库
中华消化内镜杂志,1007-5232,扩展库
中华消化外科杂志,1673-9752,核心库
中华消化杂志,0254-1432,核心库
中华小儿外科杂志,0253-3006,核心库
中华心血管病杂志,0253-3758,核心库
中华新生儿科杂志,2096-2932,扩展库
中华胸心血管外科杂志,1001-4497,核心库
中华血液学杂志,0253-2727,核心库
中华眼底病杂志,1005-1015,扩展库
中华眼科杂志,0412-4081,核心库
中华眼视光学与视觉科学杂志,1674-845X,扩展库
中华医学超声杂志（电子版）,1672-6448,核心库
中华医学遗传学杂志,1003-9406,扩展库
中华医学杂志,0376-2491,核心库
中华医院感染学杂志,1005-4529,扩展库
中华医院管理杂志,1000-6672,扩展库
中华预防医学杂志,0253-9624,核心库
中华整形外科杂志,1009-4598,核心库
中华中医药杂志,1673-1727,核心库
中华肿瘤杂志,0253-3766,核心库
中华重症医学电子杂志,2096-1537,扩展库
中南大学学报.  医学版,1672-7347,核心库
中南大学学报.  自然科学版,1672-7207,核心库
中南林业科技大学学报,1673-923X,核心库
中山大学学报.  医学科学版,1672-3554,核心库
中山大学学报.  自然科学版（中英文）,2097-0137,核心库
中文信息学报,1003-0077,核心库
中药新药与临床药理,1003-9783,核心库
中药药理与临床,1001-859X,核心库
中医杂志,1001-1668,核心库
重庆大学学报.  自然科学版,1000-582X,核心库
重庆交通大学学报.  自然科学版,1674-0696,扩展库
重庆医科大学学报,0253-3626,扩展库
重庆邮电大学学报.  自然科学版,1673-825X,扩展库
资源科学,1007-7588,核心库
自动化学报,0254-4156,核心库
自然保护地,2096-8981,扩展库
自然科学史研究,1000-0224,扩展库
自然灾害学报,1004-4574,核心库
自然资源学报,1000-3037,核心库
自然资源遥感,2097-034X,核心库
作物学报,0496-3490,核心库
